parents1	src/hooks/stop_pending_work.py	33	str(Path(__file__).resolve().parents[1])
parents1	src/hooks/stop_tests.py	43	str(Path(__file__).resolve().parents[1])
parents1	src/hooks/task_lifecycle.py	51	str(Path(__file__).resolve().parents[1])
parents1	src/paths/declarations.py	36	str(Path(__file__).resolve().parents[1])
otro	src/paths/reach_roots.py	95	src
otro	src/peer_mailbox/inbox.py	68	str(_source_root())
dirname-propio	src/repo/citations.py	32	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1	src/repo/pending_work.py	55	str(Path(__file__).resolve().parents[1])
otro	src/rules/paths.py	32	str(_RAIZ / 'src')
dirname-propio	src/session/adopt_background.py	95	str(Path(__file__).resolve().parent.parent)
parents1	src/session/background.py	75	str(Path(__file__).resolve().parents[1])
dirname-propio	src/session/clone_bootstrap.py	55	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
dirname-propio	src/session/generate_bin.py	145	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1	src/session/instruction_floor.py	143	str(Path(__file__).resolve().parents[1])
parents1	src/session/marker_wait.py	71	str(Path(__file__).resolve().parents[1])
parents1	src/session/probe_model_switch_cache.py	49	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/session/reconcile_user_hooks.py	39	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1-subdir	src/task/agrupar_tareas_por_familia.py	29	str(Path(__file__).resolve().parents[1] / 'paths')
dirname-propio	src/task/board_sync.py	73	str(pathlib.Path(__file__).resolve().parent)
parents1	src/task/census_open_tasks.py	70	str(Path(__file__).resolve().parents[1])
parents1-subdir	src/task/closure_graph.py	100	str(pathlib.Path(__file__).resolve().parents[1] / 'paths')
otro	src/task/implementation_order.py	79	_SCRIPTS_DIR
otro	src/task/render_tablero_asignadas.py	28	str(AQUI)
otro	src/task/render_tablero_asignadas.py	31	str(AQUI.parent / 'paths')
parents1-subdir	src/task/task_ids.py	119	str(pathlib.Path(__file__).resolve().parents[1] / 'paths')
parents1	src/task/task_source.py	35	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/task/vecinos_de_tarea.py	54	_SCRIPTS_DIR
dirname-propio	src/verify/check_agent_isolation.py	34	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_binary_literal_citations.py	46	str(HERE.parent)
dirname-propio	src/verify/check_cifra_de_artefacto_vivo.py	53	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1	src/verify/check_config_precedence.py	91	str(Path(__file__).resolve().parents[1])
dirname-propio	src/verify/check_consumer_anchor.py	35	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_consumer_copies.py	51	str(HERE.parent)
parents1	src/verify/check_corpus_al_dia.py	31	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/verify/check_doc_citations.py	57	str(_ROOT / 'src')
otro	src/verify/check_error_catalog.py	64	str(HERE.parent)
dirname-propio	src/verify/check_eventos_hook.py	34	os.path.dirname(os.path.dirname(os.path.abspath(__file__)))
otro	src/verify/check_finding_id_unique.py	52	str(HERE)
otro	src/verify/check_finding_id_unique.py	53	str(HERE.parent)
otro	src/verify/check_generator_determinism.py	53	str(HERE.parent)
dirname-propio	src/verify/check_gitattributes.py	30	str(Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_gitattributes.py	88	src
dirname-propio	src/verify/check_hallazgo_submodulo.py	41	str(pathlib.Path(__file__).resolve().parent)
dirname-propio	src/verify/check_hook_script_token.py	30	str(Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_hook_script_token.py	88	src
otro	src/verify/check_hooks_timeout.py	24	str(HERE.parent)
dirname-propio	src/verify/check_identifier_language.py	110	str(pathlib.Path(__file__).resolve().parent.parent)
dirname-propio	src/verify/check_manifest_language.py	34	str(pathlib.Path(__file__).resolve().parent.parent)
otro	src/verify/check_mutante_en_staging.py	39	str(GATES)
dirname-propio	src/verify/check_path_arithmetic.py	57	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
parents1	src/verify/check_premise_drift.py	29	str(Path(__file__).resolve().parents[1])
dirname-propio	src/verify/check_provider_evidence.py	45	str(pathlib.Path(__file__).resolve().parent.parent)
parents1	src/verify/check_python_surface.py	30	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/verify/check_rst_convenciones.py	66	str(pathlib.Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_rst_referencias.py	84	str(HERE.parent)
parents1	src/verify/check_rst_sintaxis.py	84	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/verify/check_rule_divergence.py	53	str(HERE.parent)
dirname-propio	src/verify/check_script_deprecated.py	27	str(Path(__file__).resolve().parent.parent / 'paths')
otro	src/verify/check_script_deprecated.py	80	src
parents1	src/verify/check_script_naming.py	93	str(pathlib.Path(__file__).resolve().parents[1])
otro	src/verify/check_suite_discrimina.py	75	str(HERE.parent / 'paths')
dirname-propio	src/verify/check_unreachable_rules.py	33	os.path.dirname(os.path.dirname(os.path.abspath(__file__)))
dirname-propio	src/verify/detect_broken_references.py	25	os.path.dirname(os.path.dirname(os.path.abspath(__file__)))
parents1	src/verify/gitattributes.py	43	str(Path(__file__).resolve().parents[1])
parents1	src/verify/hook_script_token.py	57	str(Path(__file__).resolve().parents[1])
dirname-propio	src/verify/renumerar_colision.py	33	os.path.dirname(os.path.abspath(__file__))
otro	src/verify/runner.py	227	str(HERE.parent)
parents1	src/verify/script_deprecated.py	63	str(pathlib.Path(__file__).resolve().parents[1])
dirname-propio	src/verify/validate_broken_references.py	19	str(Path(__file__).parent)
parents1	src/verify/verificar_persistencia.py	35	str(Path(__file__).resolve().parents[1])
otro	src/verify/verificar_premisa.py	79	_SCRIPTS_DIR
otro	src/verify/verificar_premisa.py	77	_ruta
parents1	src/workbench/paths.py	67	str(Path(__file__).resolve().parents[1])
