patron: mock-sin-tipar-infiere-tupla-vacia
senal_del_verificador: TS2493|TS18048|TS2769.*is not assignable to parameter of type 'undefined'
fix_generico: Cuando `mock()` de bun:test recibe una función sin parámetros anotados (`async () => {}`), TypeScript infiere ese literal como la firma del mock, así que `.mock.calls[0]` queda tipado como la tupla `[]` y cualquier destructuring o `expect(arg).toBe(...)` posterior falla (TS2493 al indexar, TS2769 porque el parámetro esperado es `undefined`, TS18048 en accesos encadenados). Se corrige anotando explícitamente los parámetros del callback pasado a `mock()` con el tipo real de la función que reemplaza — normalmente el tipo del parámetro de callback del productor (por ejemplo `WriteToMailboxFn`) — para que `bun:test` infiera la tupla correcta de `mock.calls`.

diagnósticos de este archivo que casan la señal:
src/packages/agent/query.ts(1464,27): error TS18048: 'result.message' is possibly 'undefined'.
  --- código src/packages/agent/query.ts:1454-1474 ---
   1454      // rollup point hooks need for batch-level bookkeeping. Skipped on
src/packages/agent/query.ts(1556,27): error TS18048: 'result.message' is possibly 'undefined'.
  --- código src/packages/agent/query.ts:1546-1566 ---
   1546          }
   1547        }
   1548  
   1549        // Collect tool info for summary generation
   1550        const toolUseIds = toolUseBlocks.map(block => block.id)
   1551        const toolInfoForSummary = toolUseBlocks.map(block => {
   1552          // Find the corresponding tool result
   1553          const toolResult = toolResults.find(
   1554            result =>
   1555              result.type === 'user' &&
   1556>             Array.isArray(result.message.content) &&
   1557              result.message.content.some(
   1558                content =>
   1559                  content.type === 'tool_result' &&
   1560                  content.tool_use_id === block.id,
   1561              ),
   1562          )
   1563          const resultContent =
   1564            toolResult?.type === 'user' &&
   1565            Array.isArray(toolResult.message.content)
   1566              ? toolResult.message.content.find(
src/packages/agent/query.ts(1557,13): error TS18048: 'result.message' is possibly 'undefined'.
  --- código src/packages/agent/query.ts:1547-1567 ---
   1547        }
   1548  
   1549        // Collect tool info for summary generation
   1550        const toolUseIds = toolUseBlocks.map(block => block.id)
   1551        const toolInfoForSummary = toolUseBlocks.map(block => {
   1552          // Find the corresponding tool result
   1553          const toolResult = toolResults.find(
   1554            result =>
   1555              result.type === 'user' &&
   1556              Array.isArray(result.message.content) &&
   1557>             result.message.content.some(
   1558                content =>
   1559                  content.type === 'tool_result' &&
   1560                  content.tool_use_id === block.id,
   1561              ),
   1562          )
   1563          const resultContent =
   1564            toolResult?.type === 'user' &&
   1565            Array.isArray(toolResult.message.content)
   1566              ? toolResult.message.content.find(
   1567                  (c): c is ToolResultBlockParam =>
src/packages/agent/query.ts(1565,25): error TS18048: 'toolResult.message' is possibly 'undefined'.
  --- código src/packages/agent/query.ts:1555-1575 ---
   1555              result.type === 'user' &&
   1556              Array.isArray(result.message.content) &&
   1557              result.message.content.some(
   1558                content =>
   1559                  content.type === 'tool_result' &&
   1560                  content.tool_use_id === block.id,
   1561              ),
   1562          )
   1563          const resultContent =
   1564            toolResult?.type === 'user' &&
   1565>           Array.isArray(toolResult.message.content)
   1566              ? toolResult.message.content.find(
   1567                  (c): c is ToolResultBlockParam =>
   1568                    c.type === 'tool_result' && c.tool_use_id === block.id,
   1569                )
   1570              : undefined
   1571          return {
   1572            name: block.name,
   1573            input: block.input,
   1574            output:
   1575              resultContent && 'content' in resultContent
src/packages/agent/query.ts(1566,15): error TS18048: 'toolResult.message' is possibly 'undefined'.
  --- código src/packages/agent/query.ts:1556-1576 ---
   1556              Array.isArray(result.message.content) &&
   1557              result.message.content.some(
   1558                content =>
   1559                  content.type === 'tool_result' &&
   1560                  content.tool_use_id === block.id,
   1561              ),
   1562          )
   1563          const resultContent =
   1564            toolResult?.type === 'user' &&
   1565            Array.isArray(toolResult.message.content)
   1566>             ? toolResult.message.content.find(
   1567                  (c): c is ToolResultBlockParam =>
   1568                    c.type === 'tool_result' && c.tool_use_id === block.id,
   1569                )
   1570              : undefined
   1571          return {
   1572            name: block.name,
   1573            input: block.input,
   1574            output:
   1575              resultContent && 'content' in resultContent
   1576                ? resultContent.content
