clase	suite	sujetos
A	test-snapshot-tasks.sh	deprecated.sh,snapshot-tasks.sh
A	test-stop-gate-tablero-desactualizado.sh	agent_store.py,deprecated.sh,snapshot-tasks.sh,tipos_documentales.py
A	test-suite-discrimina.sh	check_rst_sintaxis.py,check_suite_discrimina.py,clasificar_agentes.py,reconciliar_store.py
A	test-vocabulario-prosa.sh	__init__.py,check_vocabulario_prosa.py
A	test-volcar-tarea-al-store.sh	agent_store.py
A	test-wait-jobs.sh	run-task-pool.sh,wait-jobs.sh
B	run-all.sh	check-hallazgo-sucesor.sh
B	test-agent-artifacts.sh	check-agent-artifacts.sh
B	test-arranque-de-clon.sh	arranque_de_clon.py,sincronizar_settings_local.py
B	test-audit-timing.sh	thyrox-audit.sh
B	test-aviso-de-arranque.sh	instalar-config-usuario.sh
B	test-bridge-hooks.sh	bridge_hooks.py
B	test-censo-contraparte.sh	censo_contraparte.py
B	test-censo-sobres-mensaje.sh	censo_sobres_mensaje.py
B	test-cifra-de-artefacto-vivo.sh	check_cifra_de_artefacto_vivo.py,thyrox-audit.sh
B	test-closure-graph.sh	closure_graph.py
B	test-coordinator-sin-worktree.sh	check_agent_isolation.py
B	test-corpus-al-dia.sh	check_corpus_al_dia.py
B	test-costo-agente.sh	anonymize_transcript.py,costo-agente.sh
B	test-destino-del-reporte.sh	detect_broken_references.py
B	test-esperar-marcador.sh	esperar-marcador.sh
B	test-eventos-hook.sh	check_eventos_hook.py
B	test-evidence-tracked.sh	check_evidence_tracked.py
B	test-find-reference-home.sh	find_reference_home.py
B	test-githooks-activos.sh	check_githooks_activos.py
B	test-graph-metrics.sh	graph_metrics.py
B	test-hallazgo-submodulo.sh	check_hallazgo_submodulo.py
B	test-hallazgo-sucesor.sh	check-hallazgo-sucesor.sh
B	test-ids-entre-ramas.sh	check_ids_entre_ramas.py
B	test-instalar-config-usuario.sh	instalar-config-usuario.sh
B	test-lib.sh	lib.sh
B	test-medir-disparo-de-hooks.sh	medir_disparo_de_hooks.py
B	test-merge-sqlite-union.sh	merge_sqlite_union.py
B	test-mutante-en-staging.sh	check_mutante_en_staging.py,check_suite_discrimina.py,check_vocabulario_prosa.py
B	test-premise-drift.sh	check_premise_drift.py
B	test-record-environment.sh	record_environment.py
B	test-reference-root-resolution.sh	check_reference_root_resolution.py
B	test-sincronizar-settings-local.sh	sincronizar_settings_local.py
B	test-unreachable-rules.sh	check_unreachable_rules.py
B	test-veredicto-de-gate.sh	thyrox-audit.sh
B	test-verificar-persistencia.sh	verificar_persistencia.py
B	test-verificar-premisa.sh	verificar_premisa.py
B	test-verificar-rutas-de-hook.sh	verificar_rutas_de_hook.py
B	test-verify-task-store.sh	verify-task-store-in-cli-js.sh
B	test-vocabulario-baseline-resolucion.sh	check_vocabulario_prosa.py
C	test-agent-store-transcript-path.sh	register_agent_session.py
C	test-despachador-pretooluse.sh	despachar_pretooluse.py,inject_hallazgo_submodulo.py
C	test-flow-coordinador.sh	inject-flow-selection.sh
C	test-stop-gate-trabajo-sin-publicar.sh	stop-gate-trabajo-sin-publicar.sh
C	test-vocabulario-gate-hook.sh	despachar_pretooluse.py,inject_vocabulario_gate.py
D	test-enlace-directorio-sin-decidir.sh	
D	test-pre-commit-docs.sh	
